Begin Date of the Week,REDC Region,First Infections Count,Reinfections Count
03/28/2022,Central New York,2558,251
03/28/2022,Finger Lakes,1503,141
03/28/2022,Long Island,3041,362
03/28/2022,Mid-Hudson,2854,270
03/28/2022,Mohawk Valley,785,98
03/28/2022,New York City,10422,988
03/28/2022,North Country,583,55
03/28/2022,Southern Tier,1054,131
03/28/2022,Western New York,1243,118
03/21/2022,Capital Region,925,96
03/21/2022,Central New York,2438,224
03/21/2022,Finger Lakes,972,85
03/21/2022,Long Island,2273,248
03/21/2022,Mid-Hudson,1988,199
03/21/2022,Mohawk Valley,557,67
03/21/2022,New York City,8662,736
03/21/2022,North Country,435,46
03/21/2022,Southern Tier,1021,95
03/21/2022,Western New York,884,94
03/14/2022,Capital Region,794,76
03/14/2022,Central New York,1713,132
03/14/2022,Finger Lakes,682,66
03/14/2022,Long Island,1618,186
03/14/2022,Mid-Hudson,1481,136
03/14/2022,Mohawk Valley,413,40
03/14/2022,New York City,6086,446
03/14/2022,North Country,516,34
03/14/2022,Southern Tier,534,50
03/14/2022,Western New York,752,55
03/07/2022,Capital Region,653,47
03/07/2022,Central New York,1161,81
03/07/2022,Finger Lakes,565,59
03/07/2022,Long Island,1287,155
03/07/2022,Mid-Hudson,1179,91
03/07/2022,Mohawk Valley,396,42
03/07/2022,New York City,4581,326
03/07/2022,North Country,425,34
03/07/2022,Southern Tier,574,54
03/07/2022,Western New York,630,57
02/28/2022,Capital Region,790,74
02/28/2022,Central New York,1095,90
02/28/2022,Finger Lakes,584,68
02/28/2022,Long Island,1323,110
02/28/2022,Mid-Hudson,1177,126
02/28/2022,Mohawk Valley,368,42
02/28/2022,New York City,4133,302
02/28/2022,North Country,525,43
02/28/2022,Southern Tier,657,57
02/28/2022,Western New York,775,76
02/21/2022,Capital Region,955,60
02/21/2022,Central New York,1075,96
02/21/2022,Finger Lakes,717,62
02/21/2022,Long Island,1543,154
02/21/2022,Mid-Hudson,1339,104
02/21/2022,Mohawk Valley,527,53
02/21/2022,New York City,4272,313
02/21/2022,North Country,608,44
02/21/2022,Southern Tier,794,84
02/21/2022,Western New York,997,80
02/14/2022,Capital Region,1521,108
02/14/2022,Central New York,1424,141
02/14/2022,Finger Lakes,1188,109
02/14/2022,Long Island,2125,204
02/14/2022,Mid-Hudson,1915,171
02/14/2022,Mohawk Valley,806,82
02/14/2022,New York City,5734,456
02/14/2022,North Country,945,55
02/14/2022,Southern Tier,1211,138
02/14/2022,Western New York,1487,107
02/07/2022,Capital Region,2066,142
02/07/2022,Central New York,2167,164
02/07/2022,Finger Lakes,1933,175
02/07/2022,Long Island,3255,338
02/07/2022,Mid-Hudson,2898,253
02/07/2022,Mohawk Valley,1151,132
02/07/2022,New York City,8615,605
02/07/2022,North Country,1408,85
02/07/2022,Southern Tier,1668,189
02/07/2022,Western New York,2233,209
01/31/2022,Capital Region,3238,211
01/31/2022,Central New York,3131,226
01/31/2022,Finger Lakes,3007,233
01/31/2022,Long Island,5504,525
01/31/2022,Mid-Hudson,4517,372
01/31/2022,Mohawk Valley,1718,165
01/31/2022,New York City,14417,990
01/31/2022,North Country,1951,133
01/31/2022,Southern Tier,2338,212
01/31/2022,Western New York,3626,274
01/24/2022,Capital Region,5445,353
01/24/2022,Central New York,5047,378
01/24/2022,Finger Lakes,5161,432
01/24/2022,Long Island,9006,955
01/24/2022,Mid-Hudson,7984,749
01/24/2022,Mohawk Valley,2928,255
01/24/2022,New York City,25943,1923
01/24/2022,North Country,2911,159
01/24/2022,Southern Tier,3887,335
01/24/2022,Western New York,6367,520
01/17/2022,Capital Region,8754,598
01/17/2022,Central New York,7839,561
01/17/2022,Finger Lakes,8189,660
01/17/2022,Long Island,17571,1862
01/17/2022,Mid-Hudson,14879,1258
01/17/2022,Mohawk Valley,4349,417
01/17/2022,New York City,56278,3958
01/17/2022,North Country,3815,245
01/17/2022,Southern Tier,5198,447
01/17/2022,Western New York,10372,832
01/10/2022,Capital Region,13896,913
01/10/2022,Central New York,11245,851
01/10/2022,Finger Lakes,13254,1051
01/10/2022,Long Island,34765,3585
01/10/2022,Mid-Hudson,29997,2649
01/10/2022,Mohawk Valley,5792,500
01/10/2022,New York City,120955,8514
01/10/2022,North Country,4816,238
01/10/2022,Southern Tier,7548,677
01/10/2022,Western New York,17435,1361
01/03/2022,Capital Region,18254,1297
01/03/2022,Central New York,15687,1273
01/03/2022,Finger Lakes,17603,1678
01/03/2022,Long Island,72091,7598
01/03/2022,Mid-Hudson,54332,5489
01/03/2022,Mohawk Valley,6987,601
01/03/2022,New York City,268188,20040
01/03/2022,North Country,5662,304
01/03/2022,Southern Tier,9310,782
01/03/2022,Western New York,25682,2253
12/27/2021,Capital Region,13567,824
12/27/2021,Central New York,10641,738
12/27/2021,Finger Lakes,11744,1023
12/27/2021,Long Island,86869,8868
12/27/2021,Mid-Hudson,56714,5567
12/27/2021,Mohawk Valley,4864,354
12/27/2021,New York City,308979,24783
12/27/2021,North Country,3079,119
12/27/2021,Southern Tier,6200,494
12/27/2021,Western New York,19312,1635
12/20/2021,Capital Region,6453,327
12/20/2021,Central New York,4686,244
12/20/2021,Finger Lakes,5487,333
12/20/2021,Long Island,51948,5433
12/20/2021,Mid-Hudson,29974,2902
12/20/2021,Mohawk Valley,2607,163
12/20/2021,New York City,191913,15928
12/20/2021,North Country,1420,36
12/20/2021,Southern Tier,3455,165
12/20/2021,Western New York,7532,512
12/13/2021,Capital Region,5055,139
12/13/2021,Central New York,3826,127
12/13/2021,Finger Lakes,4814,136
12/13/2021,Long Island,27366,2155
12/13/2021,Mid-Hudson,14483,899
12/13/2021,Mohawk Valley,2632,101
12/13/2021,New York City,91573,6109
12/13/2021,North Country,1649,38
12/13/2021,Southern Tier,4689,232
12/13/2021,Western New York,5589,180
12/06/2021,Capital Region,4342,59
12/06/2021,Central New York,3448,52
12/06/2021,Finger Lakes,5024,66
12/06/2021,Long Island,13650,480
12/06/2021,Mid-Hudson,7846,207
12/06/2021,Mohawk Valley,2502,59
12/06/2021,New York City,23873,817
12/06/2021,North Country,1925,33
12/06/2021,Southern Tier,3900,134
12/06/2021,Western New York,6202,89
11/29/2021,Capital Region,5356,55
11/29/2021,Central New York,3959,57
11/29/2021,Finger Lakes,6686,101
11/29/2021,Long Island,11927,325
11/29/2021,Mid-Hudson,7128,149
11/29/2021,Mohawk Valley,2853,53
11/29/2021,New York City,16413,380
11/29/2021,North Country,2293,25
11/29/2021,Southern Tier,3646,69
11/29/2021,Western New York,8274,125
11/22/2021,Capital Region,3977,48
11/22/2021,Central New York,2365,42
11/22/2021,Finger Lakes,4740,39
11/22/2021,Long Island,7330,155
11/22/2021,Mid-Hudson,4192,98
11/22/2021,Mohawk Valley,2046,33
11/22/2021,New York City,10230,236
11/22/2021,North Country,1717,28
11/22/2021,Southern Tier,2251,33
11/22/2021,Western New York,6528,92
11/15/2021,Capital Region,4348,40
11/15/2021,Central New York,2784,41
11/15/2021,Finger Lakes,5462,52
11/15/2021,Long Island,6561,158
11/15/2021,Mid-Hudson,3979,105
11/15/2021,Mohawk Valley,2234,42
11/15/2021,New York City,10091,212
11/15/2021,North Country,1817,26
11/15/2021,Southern Tier,2782,35
11/15/2021,Western New York,7092,98
11/08/2021,Capital Region,3625,40
11/08/2021,Central New York,2469,38
11/08/2021,Finger Lakes,5124,57
11/08/2021,Long Island,5100,106
11/08/2021,Mid-Hudson,3361,76
11/08/2021,Mohawk Valley,1993,28
11/08/2021,New York City,8033,195
11/08/2021,North Country,1656,20
11/08/2021,Southern Tier,2459,33
11/08/2021,Western New York,5965,64
11/01/2021,Capital Region,2824,25
11/01/2021,Central New York,2055,40
11/01/2021,Finger Lakes,4079,40
11/01/2021,Long Island,3750,91
11/01/2021,Mid-Hudson,2459,87
11/01/2021,Mohawk Valley,1670,26
11/01/2021,New York City,6432,203
11/01/2021,North Country,1553,23
11/01/2021,Southern Tier,2010,30
11/01/2021,Western New York,4587,63
10/25/2021,Capital Region,2287,20
10/25/2021,Central New York,1856,18
10/25/2021,Finger Lakes,2886,27
10/25/2021,Long Island,3048,62
10/25/2021,Mid-Hudson,2139,72
10/25/2021,Mohawk Valley,1306,15
10/25/2021,New York City,5500,161
10/25/2021,North Country,1313,17
10/25/2021,Southern Tier,1681,24
10/25/2021,Western New York,3472,48
10/18/2021,Capital Region,2257,25
10/18/2021,Central New York,1849,18
10/18/2021,Finger Lakes,2470,29
10/18/2021,Long Island,3330,77
10/18/2021,Mid-Hudson,2172,62
10/18/2021,Mohawk Valley,1202,12
10/18/2021,New York City,5898,168
10/18/2021,North Country,1225,22
10/18/2021,Southern Tier,1683,25
10/18/2021,Western New York,2898,34
10/11/2021,Capital Region,2293,26
10/11/2021,Central New York,2375,29
10/11/2021,Finger Lakes,2785,24
10/11/2021,Long Island,4082,91
10/11/2021,Mid-Hudson,2780,82
10/11/2021,Mohawk Valley,1423,26
10/11/2021,New York City,7564,216
10/11/2021,North Country,1398,9
10/11/2021,Southern Tier,2162,31
10/11/2021,Western New York,2913,46
10/04/2021,Capital Region,2297,29
10/04/2021,Central New York,2585,45
10/04/2021,Finger Lakes,2880,39
10/04/2021,Long Island,4679,113
10/04/2021,Mid-Hudson,3113,90
10/04/2021,Mohawk Valley,1524,30
10/04/2021,New York City,8739,261
10/04/2021,North Country,1370,11
10/04/2021,Southern Tier,2250,43
10/04/2021,Western New York,3020,44
09/27/2021,Capital Region,2178,19
09/27/2021,Central New York,2534,34
09/27/2021,Finger Lakes,2582,32
09/27/2021,Long Island,4796,116
09/27/2021,Mid-Hudson,2793,75
09/27/2021,Mohawk Valley,1546,23
09/27/2021,New York City,8985,224
09/27/2021,North Country,1343,7
09/27/2021,Southern Tier,1901,29
09/27/2021,Western New York,2859,36
09/20/2021,Capital Region,2177,28
09/20/2021,Central New York,2375,40
09/20/2021,Finger Lakes,2632,36
09/20/2021,Long Island,5521,129
09/20/2021,Mid-Hudson,3088,83
09/20/2021,Mohawk Valley,1407,23
09/20/2021,New York City,10394,278
09/20/2021,North Country,1377,19
09/20/2021,Southern Tier,2114,31
09/20/2021,Western New York,2867,41
09/13/2021,Capital Region,2097,27
09/13/2021,Central New York,2141,34
09/13/2021,Finger Lakes,2423,31
09/13/2021,Long Island,5994,152
09/13/2021,Mid-Hudson,3641,94
09/13/2021,Mohawk Valley,1320,26
09/13/2021,New York City,12062,302
09/13/2021,North Country,1410,10
09/13/2021,Southern Tier,1949,27
09/13/2021,Western New York,2908,52
09/06/2021,Capital Region,1913,24
09/06/2021,Central New York,2065,43
09/06/2021,Finger Lakes,2141,52
09/06/2021,Long Island,6229,167
09/06/2021,Mid-Hudson,3813,90
09/06/2021,Mohawk Valley,1041,21
09/06/2021,New York City,11880,290
09/06/2021,North Country,1297,16
09/06/2021,Southern Tier,1596,24
09/06/2021,Western New York,2577,40
08/30/2021,Capital Region,1859,25
08/30/2021,Central New York,1908,33
08/30/2021,Finger Lakes,1912,20
08/30/2021,Long Island,6076,161
08/30/2021,Mid-Hudson,3649,94
